"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-01","0.00","52","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-02","0.00","54","59","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-03","0.30","55","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-04","0.03","54","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-05","0.19","59","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-06","0.00","54","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-07","0.00","51","53","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-08","3.12","53","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-09","0.42","56","58","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-10","0.00","54","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-11","0.00","55","58","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-12","0.00","53","55","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-13","0.00","53","60","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-14","0.00","53","56","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-15","0.00","53","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-16","0.00","56","59","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-17","0.00","56","58","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-18","0.15","54","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-19","0.00","53","57","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-20","0.00","50","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-21","0.00","49","57","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-22","0.25","55","58","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-23","0.00","51","57","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-24","0.27","51","60","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-25","0.12","51","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-26","0.00","49","54","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-27","0.00","49","60","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-28","0.00","55","66","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-29","0.00","55","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-30","0.00","55","64","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01-31","0.00","54","65","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-01","0.00","57","73","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-02","0.00","60","73","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-03","0.00","62","76","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-04","0.00","62","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-05","0.00","60","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-06","0.00","61","75","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-07","0.00","62","72","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-08","0.00","60","74","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-09","0.00","60","74","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-10","0.00","59","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-11","0.00","55","63","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-12","0.00","52","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-13","0.00","54","63","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-14","0.00","53","60","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-15","0.00","52","64","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-16","0.00","51","65","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-17","0.00","53","67","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-18","0.02","53","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-19","0.00","47","53","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-20","0.00","46","53","36"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-21","0.00","48","56","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-22","0.02","50","55","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-23","0.00","47","54","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-24","0.00","47","57","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-25","0.00","49","59","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-26","0.19","51","54","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-27","0.00","49","58","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02-28","0.16","49","56","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-01","1.04","53","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-02","0.18","50","56","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-03","0.05","47","53","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-04","0.00","47","55","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-05","0.00","50","61","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-06","0.00","53","65","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-07","0.01","57","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-08","0.01","60","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-09","0.00","53","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-10","0.00","54","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-11","0.00","52","67","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-12","0.11","58","70","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-13","0.26","60","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-14","0.08","54","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-15","0.14","51","59","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-16","0.15","52","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-17","0.00","50","56","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-18","0.00","49","56","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-19","0.00","52","62","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-20","0.42","57","58","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-21","0.13","58","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-22","0.55","60","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-23","0.00","51","59","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-24","0.13","53","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-25","0.06","51","57","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-26","0.00","53","62","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-27","0.00","58","72","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-28","0.00","60","77","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-29","0.00","63","81","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-30","0.00","64","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-31","0.00","61","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-01","0.00","56","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-02","0.00","57","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-03","0.00","55","65","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-04","0.00","56","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-05","0.11","57","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-06","1.11","60","64","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-07","0.64","62","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-08","0.00","58","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-09","0.00","58","75","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-10","0.00","63","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-11","0.22","56","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-12","0.00","54","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-13","0.00","55","66","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-14","0.00","58","71","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-15","0.05","58","64","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-16","0.11","52","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-17","0.00","52","63","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-18","0.00","54","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-19","0.00","55","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-20","0.00","56","67","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-21","0.00","58","75","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-22","0.00","59","76","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-23","0.00","60","74","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-24","0.00","58","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-25","0.00","57","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-26","0.00","56","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-27","0.00","58","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-28","0.00","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-29","0.00","58","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-30","0.00","57","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-01","0.00","56","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-02","0.00","57","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-03","0.00","57","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-04","0.00","57","69","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-05","0.00","56","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-06","0.00","57","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-07","0.00","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-08","0.00","60","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-09","0.00","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-10","0.00","59","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-11","0.00","59","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-12","0.00","69","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-13","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-14","0.00","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-15","0.00","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-16","0.00","60","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-17","0.00","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-18","0.00","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-19","0.00","57","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-20","0.00","57","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-21","0.00","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-22","0.00","57","61","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-23","0.00","57","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-24","0.00","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-25","0.01","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-26","0.00","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-27","0.00","60","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-28","0.00","65","84","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-29","0.00","64","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-30","0.00","58","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-31","0.00","58","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-01","0.00","59","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-02","0.00","65","85","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-03","0.00","64","75","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-04","0.00","61","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-05","0.00","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-06","0.00","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-07","0.00","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-08","0.00","61","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-09","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-10","0.00","60","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-11","0.00","61","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-12","0.00","64","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-13","0.00","64","76","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-14","0.00","62","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-15","0.00","62","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-16","0.00","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-17","0.00","62","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-18","0.00","65","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-19","0.00","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-20","0.00","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-21","0.00","60","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-22","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-23","0.00","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-24","0.00","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-25","0.00","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-26","0.00","65",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-27","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-28","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-29","0.00","66",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-30","0.00","71",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-01","0.00","69",,
